Country,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
Afghanistan,18.876,19.006,19.692,20.829,22.022,23.169,24.372,2019
Albania,15.276,14.034,14.763,16.130,17.728,18.856,20.052,2018
Algeria,169.267,147.323,155.306,160.849,164.854,169.332,174.761,2019
Angola,89.417,62.724,68.072,72.364,78.587,85.129,91.453,2018
Antigua and Barbuda,1.662,1.389,1.468,1.653,1.818,1.926,2.037,2019
Argentina,444.458,382.760,416.938,441.586,464.257,473.984,482.072,2019
Armenia,13.673,12.813,13.146,14.104,15.100,16.230,17.447,2019
Aruba,2.888,2.288,2.569,2.750,2.855,2.958,3.058,2017
Australia,"1,387.085","1,334.688","1,480.355","1,533.798","1,608.773","1,682.750","1,755.091",2019
Austria,446.309,432.894,490.395,519.276,541.953,563.392,584.820,2019
Azerbaijan,48.048,41.666,45.018,47.324,49.701,52.160,54.735,2018
The Bahamas,13.579,11.560,12.275,13.228,14.042,14.647,15.160,2018
Bahrain,38.574,34.624,36.602,38.392,40.249,42.256,44.478,2019
Bangladesh,302.525,317.768,338.385,372.558,407.749,446.265,488.420,2019
Barbados,5.209,4.630,5.043,5.363,5.606,5.861,6.128,2019
Belarus,63.085,57.708,60.969,63.759,66.113,68.013,70.478,2019
Belgium,529.665,503.416,576.768,605.338,629.961,651.062,670.725,2019
Belize,1.837,1.556,1.691,1.809,1.886,1.965,2.048,2019
Benin,14.392,15.292,17.489,19.215,21.058,23.000,25.093,2018
Bhutan,2.500,2.587,2.630,2.843,3.090,3.395,3.653,2019
Bolivia,41.193,38.938,43.039,46.721,50.520,54.223,58.197,2019
Bosnia and Herzegovina,19.856,18.893,21.328,22.632,23.830,25.090,26.505,2018
Botswana,18.474,15.872,17.344,19.450,21.128,22.543,24.117,2019
Brazil,"1,839.077","1,363.767","1,431.624","1,562.617","1,665.966","1,786.913","1,891.433",2019
Brunei Darussalam,13.470,10.647,12.128,12.915,13.441,13.878,14.292,2019
Bulgaria,67.931,67.917,77.971,83.835,89.160,94.390,99.641,2019
Burkina Faso,15.746,16.082,18.314,19.937,21.636,23.397,25.289,2018
Burundi,3.111,3.131,3.266,3.401,3.545,3.701,3.877,2015
Cabo Verde,1.982,1.870,2.071,2.215,2.384,2.567,2.771,2018
Cambodia,26.728,26.316,28.547,31.099,33.924,37.025,40.280,2018
Cameroon,38.863,39.036,44.406,47.587,51.006,54.880,58.993,2019
